/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[38;5;247mic[39m[38;5;245m|[39m[38;5;245m [39m[38;5;36m'[39m[38;5;36mtest in MLPHead[39m[38;5;36m'[39m[38;5;245m,[39m[38;5;245m [39m[38;5;247mtest[39m[38;5;245m:[39m[38;5;245m [39m[38;5;100mFalse[39m
Loaded model from /workspace/VideoAlignment_forked/result/tennis_carl/checkpoints/checkpoint_epoch_00299.pth (epoch 299)
Device: cuda
/workspace/Motion_Instruction_Generation/alignment/coachme_carl_embedding/extract_embeddings_and_align.py:72: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.no_grad(), torch.cuda.amp.autocast():
[154/1116] p29_serkick_s1.avi: 67fr -> aligned [0-66], expert [0-91], path_len=92, norm_cost=0.1100
[155/1116] p29_serkick_s2.avi: 74fr -> aligned [0-73], expert [0-91], path_len=92, norm_cost=0.1133
[156/1116] p29_serkick_s3.avi: 71fr -> aligned [0-70], expert [0-91], path_len=93, norm_cost=0.0548
[157/1116] p2_serkick_s1.avi: 86fr -> aligned [0-85], expert [0-91], path_len=96, norm_cost=0.1390
[158/1116] p2_serkick_s2.avi: 69fr -> aligned [0-68], expert [0-91], path_len=92, norm_cost=0.1535
[159/1116] p2_serkick_s3.avi: 69fr -> aligned [0-68], expert [0-91], path_len=92, norm_cost=0.1295
[160/1116] p30_serkick_s1.avi: 83fr -> aligned [0-82], expert [0-91], path_len=92, norm_cost=0.1851
[161/1116] p30_serkick_s2.avi: 88fr -> aligned [0-87], expert [0-91], path_len=97, norm_cost=0.0925
[162/1116] p30_serkick_s3.avi: 83fr -> aligned [0-82], expert [0-91], path_len=96, norm_cost=0.1359
[163/1116] p31_serkick_s1.avi: 78fr -> aligned [0-77], expert [0-91], path_len=94, norm_cost=0.3672
[164/1116] p31_serkick_s2.avi: 88fr -> aligned [0-87], expert [0-91], path_len=98, norm_cost=0.2643
[165/1116] p31_serkick_s3.avi: 79fr -> aligned [0-78], expert [0-91], path_len=95, norm_cost=0.1777
[166/1116] p3_serkick_s1.avi: 87fr -> aligned [0-86], expert [0-91], path_len=97, norm_cost=0.1545
[167/1116] p3_serkick_s2.avi: 100fr -> aligned [0-99], expert [0-91], path_len=101, norm_cost=0.1158
[168/1116] p3_serkick_s3.avi: 98fr -> aligned [0-97], expert [0-91], path_len=106, norm_cost=0.1397
[169/1116] p4_serkick_s1.avi: 102fr -> aligned [0-101], expert [0-91], path_len=108, norm_cost=0.0691
[170/1116] p4_serkick_s2.avi: 112fr -> aligned [0-111], expert [0-91], path_len=112, norm_cost=0.0786
[171/1116] p4_serkick_s3.avi: 119fr -> aligned [0-118], expert [0-91], path_len=119, norm_cost=0.0903
[172/1116] p5_serkick_s1.avi: 87fr -> aligned [0-86], expert [0-91], path_len=96, norm_cost=0.1560
[173/1116] p5_serkick_s2.avi: 84fr -> aligned [0-83], expert [0-91], path_len=93, norm_cost=0.0889
[174/1116] p5_serkick_s3.avi: 75fr -> aligned [0-74], expert [0-91], path_len=92, norm_cost=0.0959
[175/1116] p6_serkick_s1.avi: 75fr -> aligned [0-74], expert [0-91], path_len=92, norm_cost=0.2505
[176/1116] p6_serkick_s2.avi: 84fr -> aligned [0-83], expert [0-91], path_len=92, norm_cost=0.3273
[177/1116] p6_serkick_s3.avi: 69fr -> aligned [0-68], expert [0-91], path_len=92, norm_cost=0.2605
[178/1116] p7_serkick_s1.avi: 59fr -> aligned [0-58], expert [0-91], path_len=92, norm_cost=0.2215
[179/1116] p7_serkick_s2.avi: 75fr -> aligned [0-74], expert [0-91], path_len=95, norm_cost=0.3749
[180/1116] p7_serkick_s3.avi: 84fr -> aligned [0-83], expert [0-91], path_len=95, norm_cost=0.2537
[181/1116] p8_serkick_s1.avi: 69fr -> aligned [0-68], expert [0-91], path_len=92, norm_cost=0.1965
[182/1116] p8_serkick_s2.avi: 74fr -> aligned [0-73], expert [0-91], path_len=96, norm_cost=0.2204
[183/1116] p8_serkick_s3.avi: 79fr -> aligned [0-78], expert [0-91], path_len=99, norm_cost=0.3039
[184/1116] p9_serkick_s1.avi: 89fr -> aligned [0-88], expert [0-91], path_len=101, norm_cost=0.1404
